VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL   BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY     PODY_NCL    PODY_NCU   PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL POFD_BCU FAR     FAR_NCL  FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL     CSI_NCU   CSI_BCL CSI_BCU GSS        GSS_BCL GSS_BCU HK         HK_NCL    HK_NCU    HK_BCL HK_BCU HSS        HSS_BCL HSS_BCU ODDS      ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU  ORSS_BCL ORSS_BCU EDS       EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU  SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU   EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU  SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.1   NBRCTS     2361 0.4676     0.45075    0.48452          NA        NA 0.69886    0.68311    0.71415          NA        NA 0.68911 0.67324 0.70456      NA      NA  1.49457        NA        NA  0.91486  0.90493     0.92383         NA       NA 0.49085  0.47395  0.50777       NA       NA 0.50915    0.49223    0.52605         NA       NA 0.38788 0.37152  0.40449      NA      NA 0.57913   0.56233    0.59574        NA      NA  0.24522        NA      NA  0.40571    0.38674   0.42467      NA     NA  0.39385        NA      NA  10.35854  8.4793   12.65428       NA       NA  2.33781   2.13763  2.538           NA        NA  0.82392  0.79178  0.85607        NA       NA  0.7904    0.75856  0.82224      NA      NA  0.31717  0.29374  0.3406         NA       NA  0.76704  0.68264  0.85145       NA      NA  0.5935   0.48581  0.70119        NA       NA  0.29361         NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.05  NBRCTS     2361 0.4676     0.44754    0.48776          NA        NA 0.69886    0.68004    0.71703          NA        NA 0.68911 0.67015 0.70747      NA      NA  1.49457        NA        NA  0.91486  0.90291     0.92545         NA       NA 0.49085  0.47072  0.51101       NA       NA 0.50915    0.48899    0.52928         NA       NA 0.38788 0.36842  0.4077       NA      NA 0.57913   0.5591     0.5989         NA      NA  0.24522        NA      NA  0.40571    0.3831    0.42831      NA     NA  0.39385        NA      NA  10.35854  8.16028  13.149         NA       NA  2.33781   2.09928  2.57635         NA        NA  0.82392  0.78562  0.86222        NA       NA  0.7904    0.75246  0.82834      NA      NA  0.31717  0.28926  0.34508        NA       NA  0.76704  0.66647  0.86762       NA      NA  0.5935   0.46518  0.72183        NA       NA  0.29361         NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC166  NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.1   NBRCTS     3463 0.49206    0.4781     0.50603          NA        NA 0.54635    0.5324     0.56022          NA        NA 0.81692 0.80587 0.82748      NA      NA  1.11033        NA        NA  0.86913  0.85942     0.87827         NA       NA 0.76634  0.75431  0.77796       NA       NA 0.23366    0.22204    0.24569         NA       NA 0.21723 0.20593  0.22897      NA      NA 0.70024   0.68728    0.71288        NA      NA  0.46454        NA      NA  0.63548    0.61662   0.65433      NA     NA  0.63438        NA      NA  21.78203 18.74489  25.31125       NA       NA  3.08109   2.93092  3.23125         NA        NA  0.91221  0.89961  0.92482        NA       NA  0.66975   0.63935  0.70014      NA      NA  0.54654  0.51839  0.57469        NA       NA  0.82403  0.79501  0.85306       NA      NA  0.79127  0.75874  0.82379        NA       NA  0.4466          NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC166  NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.05  NBRCTS     3463 0.49206    0.47543    0.50871          NA        NA 0.54635    0.52972    0.56287          NA        NA 0.81692 0.80369 0.82945      NA      NA  1.11033        NA        NA  0.86913  0.85749     0.87996         NA       NA 0.76634  0.75196  0.78014       NA       NA 0.23366    0.21986    0.24804         NA       NA 0.21723 0.20381  0.23127      NA      NA 0.70024   0.68476    0.71527        NA      NA  0.46454        NA      NA  0.63548    0.613     0.65795      NA     NA  0.63438        NA      NA  21.78203 18.21333  26.04997       NA       NA  3.08109   2.90215  3.26002         NA        NA  0.91221  0.89719  0.92723        NA       NA  0.66975   0.63353  0.70597      NA      NA  0.54654  0.51299  0.58008        NA       NA  0.82403  0.78945  0.85862       NA      NA  0.79127  0.75251  0.83002        NA       NA  0.4466          NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP CONUS   NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.1   NBRCTS     5273 0.49725    0.48593    0.50857          NA        NA 0.61502    0.60394    0.62598          NA        NA 0.77565 0.76606 0.78496      NA      NA  1.23684        NA        NA  0.89283  0.88562     0.89964         NA       NA 0.65975  0.64894  0.6704        NA       NA 0.34025    0.3296     0.35106         NA       NA 0.27814 0.2681   0.2884       NA      NA 0.6643    0.65352    0.67491        NA      NA  0.38109        NA      NA  0.55258    0.53856   0.5666       NA     NA  0.55187        NA      NA  16.15394 14.27269  18.28315       NA       NA  2.78216   2.65835  2.90598         NA        NA  0.88341  0.86981  0.897          NA       NA  0.7208    0.69721  0.74438      NA      NA  0.45903  0.43903  0.47903        NA       NA  0.80971  0.778    0.84142       NA      NA  0.7244   0.68462  0.76417        NA       NA  0.37629         NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP CONUS   NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.05  NBRCTS     5273 0.49725    0.48376    0.51074          NA        NA 0.61502    0.60181    0.62807          NA        NA 0.77565 0.76419 0.78671      NA      NA  1.23684        NA        NA  0.89283  0.88419     0.90089         NA       NA 0.65975  0.64685  0.67242       NA       NA 0.34025    0.32758    0.35315         NA       NA 0.27814 0.26621  0.29039      NA      NA 0.6643    0.65144    0.67692        NA      NA  0.38109        NA      NA  0.55258    0.53588   0.56929      NA     NA  0.55187        NA      NA  16.15394 13.93813  18.72201       NA       NA  2.78216   2.63463  2.9297          NA        NA  0.88341  0.86721  0.89961        NA       NA  0.7208    0.69269  0.7489       NA      NA  0.45903  0.4352   0.48286        NA       NA  0.80971  0.77192  0.8475        NA      NA  0.7244   0.677    0.77179        NA       NA  0.37629         NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP LMV     NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.1   NBRCTS      524 0.78817    0.75737    0.81601          NA        NA 0.88168    0.85649    0.90295          NA        NA 0.87977 0.85443 0.90121      NA      NA  1.11864        NA        NA  0.98305  0.97099     0.99015         NA       NA 0.4955   0.45968  0.53135       NA       NA 0.5045     0.46865    0.54032         NA       NA 0.12121 0.099686 0.14663      NA      NA 0.86567   0.83928    0.88831        NA      NA  0.39924        NA      NA  0.47855    0.45311   0.50398      NA     NA  0.57065        NA      NA  56.96429 28.27399 114.76729       NA       NA  4.04242   3.34194  4.74291         NA        NA  0.9655   0.94174  0.98925        NA       NA  0.866     0.78827  0.94373      NA      NA  0.42656  0.36714  0.48598        NA       NA  0.95125  0.87882  1.02367       NA      NA  0.73753  0.47617  0.9989         NA       NA  0.43778         NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP LMV     NBRHD_SQUARE 9           >0.0        >0.0       >=0.5      0.05  NBRCTS      524 0.78817    0.75115    0.82099          NA        NA 0.88168    0.85121    0.9066           NA        NA 0.87977 0.84912 0.90489      NA      NA  1.11864        NA        NA  0.98305  0.96798     0.99109         NA       NA 0.4955   0.45288  0.53818       NA       NA 0.5045     0.46182    0.54712         NA       NA 0.12121 0.09599  0.15195      NA      NA 0.86567   0.8338     0.89222        NA      NA  0.39924        NA      NA  0.47855    0.44705   0.51004      NA     NA  0.57065        NA      NA  56.96429 24.72336 131.24953       NA       NA  4.04242   3.20775  4.8771          NA        NA  0.9655   0.93719  0.9938         NA       NA  0.866     0.77338  0.95862      NA      NA  0.42656  0.35576  0.49737        NA       NA  0.95125  0.86495  1.03755       NA      NA  0.73753  0.4261   1.04897        NA       NA  0.43778         NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS     2361 0.029225   0.02404    0.035488         NA        NA 0.031766   0.026345   0.03826          NA        NA 0.95087 0.94302 0.95768      NA      NA  1.08696        NA        NA  0.2029   0.18963     0.21685         NA       NA 0.97339  0.96737  0.97832       NA       NA 0.026614   0.021684   0.032628        NA       NA 0.81333 0.79979  0.82616      NA      NA 0.10769   0.097644   0.11864        NA      NA  0.09239        NA      NA  0.17628    0.096167  0.2564       NA     NA  0.16915        NA      NA   9.30969  5.44332  15.92232       NA       NA  2.23106   1.69439  2.76772         NA        NA  0.80601  0.712    0.90002        NA       NA  0.37788   0.27242  0.48334      NA      NA  0.36162  0.2574   0.46584        NA       NA  0.38903  0.27293  0.50513       NA      NA  0.40749  0.28427  0.53071        NA       NA  0.089075        NA        NA
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS     2361 0.029225   0.023158   0.036821         NA        NA 0.031766   0.025418   0.039636         NA        NA 0.95087 0.94139 0.95888      NA      NA  1.08696        NA        NA  0.2029   0.18717     0.2196          NA       NA 0.97339  0.96608  0.97915       NA       NA 0.026614   0.020851   0.033916        NA       NA 0.81333 0.79711  0.82854      NA      NA 0.10769   0.095819   0.12084        NA      NA  0.09239        NA      NA  0.17628    0.081176  0.27139      NA     NA  0.16915        NA      NA   9.30969  4.91149  17.64642       NA       NA  2.23106   1.59158  2.87053         NA        NA  0.80601  0.69399  0.91803        NA       NA  0.37788   0.25221  0.50355      NA      NA  0.36162  0.23743  0.4858         NA       NA  0.38903  0.25069  0.52737       NA      NA  0.40749  0.26066  0.55432        NA       NA  0.089075        NA        NA
